tournament_name,white_id,result,black_id,date
Regular Session 2026.03.11,P0004,1.0,P0002,2026-03-11
Regular Session 2026.03.11,P0003,1.0,P0002,2026-03-11
Regular Session 2026.03.11,P0005,1.0,P0008,2026-03-11
Regular Session 2026.03.11,P0010,0.0,P0007,2026-03-11
Regular Session 20260312,P0001,1.0,P0009,2026-03-12
Regular Session 20260312,P0005,0.0,P0006,2026-03-12
Spring 2026 SNU CHESS - U1500,P0002,0.0,P0020,2026-03-28
Spring 2026 SNU CHESS - U1500,P0003,0.0,P0004,2026-03-28
Spring 2026 SNU CHESS - U1500,P0019,1.0,P0002,2026-03-28
Spring 2026 SNU CHESS - U1500,P0004,1.0,P0020,2026-03-28
Spring 2026 SNU CHESS - U1500,P0019,0.0,P0004,2026-03-28
Spring 2026 SNU CHESS - U1500,P0003,1.0,P0020,2026-03-28
Spring 2026 SNU CHESS - U1500,P0004,1.0,P0002,2026-03-28
Spring 2026 SNU CHESS - U1500,P0019,0.0,P0003,2026-03-28
Spring 2026 SNU CHESS - U1500,P0003,1.0,P0002,2026-03-28
Spring 2026 SNU CHESS - Open,P0006,0.0,P0015,2026-03-28
Spring 2026 SNU CHESS - Open,P0011,1.0,P0014,2026-03-28
Spring 2026 SNU CHESS - Open,P0013,0.0,P0012,2026-03-28
Spring 2026 SNU CHESS - Open,P0008,0.0,P0018,2026-03-28
Spring 2026 SNU CHESS - Open,P0015,1.0,P0021,2026-03-28
Spring 2026 SNU CHESS - Open,P0017,0.0,P0011,2026-03-28
Spring 2026 SNU CHESS - Open,P0018,0.0,P0016,2026-03-28
Spring 2026 SNU CHESS - Open,P0016,1.0,P0015,2026-03-28
Spring 2026 SNU CHESS - Open,P0011,1.0,P0012,2026-03-28
Spring 2026 SNU CHESS - Open,P0013,0.0,P0017,2026-03-28
Spring 2026 SNU CHESS - Open,P0021,1.0,P0014,2026-03-28
Spring 2026 SNU CHESS - Open,P0006,1.0,P0008,2026-03-28
Spring 2026 SNU CHESS - Open,P0016,0.0,P0011,2026-03-28
Spring 2026 SNU CHESS - Open,P0012,1.0,P0015,2026-03-28
Spring 2026 SNU CHESS - Open,P0018,1.0,P0006,2026-03-28
Spring 2026 SNU CHESS - Open,P0021,1.0,P0017,2026-03-28
Spring 2026 SNU CHESS - Open,P0008,0.0,P0014,2026-03-28
Spring 2026 SNU CHESS - Open,P0011,1.0,P0018,2026-03-28
Spring 2026 SNU CHESS - Open,P0016,0.0,P0012,2026-03-28
Spring 2026 SNU CHESS - Open,P0015,1.0,P0017,2026-03-28
Spring 2026 SNU CHESS - Open,P0013,0.5,P0006,2026-03-28
Spring 2026 SNU CHESS - Open,P0011,1.0,P0021,2026-03-28
Spring 2026 SNU CHESS - Open,P0012,1.0,P0018,2026-03-28
Spring 2026 SNU CHESS - Open,P0015,1.0,P0013,2026-03-28
Spring 2026 SNU CHESS - Open,P0006,1.0,P0016,2026-03-28
Spring 2026 SNU CHESS - Open,P0017,0.0,P0014,2026-03-28
Regular Session 20260408,P0003,1.0,P0002,2026-04-08
Regular Session 20260408,P0003,0.0,P0005,2026-04-08
Regular Session 20260408,P0002,1.0,P0004,2026-04-08
Regular Session 20260408,P0004,1.0,P0002,2026-04-08
Regular Session 20260408,P0024,1.0,P0025,2026-04-08
Regular Session 20260408,P0023,0.0,P0031,2026-04-08
Regular Session 20260408,P0005,1.0,P0022,2026-04-08
Regular Session 20260408,P0025,0.0,P0024,2026-04-08
Regular Session 20260408,P0003,1.0,P0027,2026-04-08
Regular Session 20260408,P0024,0.5,P0025,2026-04-08
Regular Session 20260408,P0019,1.0,P0004,2026-04-08
Regular Session 20260408,P0022,0.5,P0005,2026-04-08
Regular Session 20260408,P0002,0.0,P0006,2026-04-08
Regular Session 20260408,P0004,1.0,P0019,2026-04-08
Regular Session 20260408,P0012,0.5,P0018,2026-04-08
Regular Session 20260409,P0006,1.0,P0005,2026-04-09
Regular Session 20260409,P0028,0.0,P0029,2026-04-09
Regular Session 20260409,P0030,0.0,P0019,2026-04-09
Regular Session 20260409,P0032,0.0,P0005,2026-04-09
Regular Session 20260409,P0028,0.0,P0029,2026-04-09
Regular Session 20260409,P0019,1.0,P0030,2026-04-09
Regular Session 20260409,P0033,0.0,P0026,2026-04-09
Regular Session 20260429,P0002,0.0,P0004,2026-04-29
Regular Session 20260429,P0015,0.5,P0011,2026-04-29
Regular Session 20260429,P0005,0.5,P0006,2026-04-29
Regular Session 20260429,P0027,0.0,P0024,2026-04-29
Regular Session 20260429,P0004,0.0,P0019,2026-04-29
Regular Session 20260430,P0018,0.0,P0008,2026-04-30
Regular Session 20260430,P0018,1.0,P0008,2026-04-30
Regular Session 20260430,P0008,0.0,P0018,2026-04-30
Regular Session 20260430,P0005,0.0,P0006,2026-04-30
Regular Session 20260506,P0008,0.5,P0005,2026-05-06
Regular Session 20260506,P0004,1.0,P0031,2026-05-06
Regular Session 20260506,P0006,1.0,P0035,2026-05-06
Regular Session 20260506,P0039,1.0,P0037,2026-05-06
Regular Session 20260506,P0003,1.0,P0019,2026-05-06
Regular Session 20260507,P0023,0.0,P0038,2026-05-07
Regular Session 20260507,P0036,0.0,P0039,2026-05-07
Regular Session 20260507,P0034,0.0,P0006,2026-05-07
Regular Session 20260520,P0003,0.0,P0041,2026-05-20
Regular Session 20260520,P0041,0.0,P0003,2026-05-20
Regular Session 20260520,P0039,1.0,P0042,2026-05-20
Regular Session 20260520,P0007,0.0,P0040,2026-05-20
Regular Session 20260520,P0041,0.5,P0039,2026-05-20
Regular Session 20260520,P0003,0.0,P0042,2026-05-20
Regular Session 20260521,P0039,1.0,P0008,2026-05-21
Regular Session 20260521,P0006,1.0,P0005,2026-05-21
Regular Session 20260528,P0012,0.0,P0006,2026-05-28
Regular Session 20260603,P0039,0.0,P0006,2026-06-03
Regular Session 20260604,P0005,1.0,P0006,2026-06-04
Regular Session 20260604,P0028,0.5,P0026,2026-06-04
Regular Session 20260604,P0005,1.0,P0043,2026-06-04
